Classifier,ADASYN,BorderlineSMOTE,RandomOverSampler,RandomUnderSampler,SMOTE
DecisionTreeClassifier,97.7124183006536,99.34640522875817,75.0,99.34640522875817,98.0392156862745
GradientBoostingClassifier,98.36601307189542,99.34640522875817,75.0,100.0,99.01960784313727
LogisticRegression,92.48366013071896,98.69281045751634,25.0,91.83006535947712,91.17647058823529
RandomForestClassifier,99.01960784313727,100.0,25.0,100.0,99.34640522875817
SVC,66.99346405228758,83.66013071895425,0.0,66.99346405228758,68.62745098039215
